frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.flags.syn,tcp.flags.reset,frame.len,data.len,ip.ttl,tcp.window_size,tcp.ack,http.request.method,http.response.code
"Dec 31, 1969 18:00:02.139180000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.139232000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.139404000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.139510000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.139682000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.139725000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.139898000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.140067000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.140239000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.140300000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.140472000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.140524000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.140697000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.140785000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.140957000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.140991000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.141163000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.141305000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.141442000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.141602000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.141881000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.142017000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.142105000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.142241000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.142293000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.142430000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.142599000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.142735000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.142769000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.142905000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.142975000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.143112000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.143281000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.143417000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.143637000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.143773000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.144047000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.144183000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.144456000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.144592000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.144866000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.145228000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.145364000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.145434000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.145570000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.145739000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.145876000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.146095000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.146231000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.146504000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.146640000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.146914000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.147050000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.147323000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.147460000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.147733000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.148129000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.148714000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.148886000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.148983000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.149156000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.149226000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.149398000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.149477000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.149649000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.149710000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.149883000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.150034000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.150206000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.150303000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.150475000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.150600000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.150772000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.151010000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.151182000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.151419000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.151592000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.151829000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.151965000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.152239000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.152375000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.152648000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.152784000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.153058000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.153194000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.153467000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.153604000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.153877000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.154013000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.154287000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.154423000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.154696000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.154832000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.155106000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.155242000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.155515000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.155652000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.155925000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.156359000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.156746000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.156882000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.156952000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.157089000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.157240000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.157376000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.157455000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
